epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,64333.3,0.63911,0.33391,0.94808,0.77902,0.82795,0.79988,0.55936,1.08067,0.60545,1.20954,0.001288,0.001288,0.001288
134,64818.3,0.63268,0.33088,0.94274,0.78365,0.82248,0.79962,0.5593,1.08127,0.60642,1.21032,0.001222,0.001222,0.001222
135,65301.6,0.62886,0.32739,0.94107,0.78233,0.82447,0.79925,0.5592,1.0819,0.60699,1.21132,0.001156,0.001156,0.001156
136,65788.5,0.62416,0.32324,0.94038,0.78152,0.82389,0.79879,0.5591,1.08245,0.60683,1.21224,0.00109,0.00109,0.00109
137,66273.5,0.61743,0.31917,0.93443,0.78195,0.82479,0.79851,0.55887,1.08265,0.60687,1.21287,0.001024,0.001024,0.001024
138,66758.2,0.61333,0.31882,0.93584,0.78573,0.8206,0.79847,0.5588,1.08262,0.6072,1.21342,0.000958,0.000958,0.000958
139,67241.8,0.61042,0.316,0.93257,0.78662,0.81907,0.79852,0.55848,1.08265,0.6079,1.21439,0.000892,0.000892,0.000892
140,67725.2,0.61213,0.31625,0.93002,0.78932,0.81795,0.79819,0.55819,1.08317,0.6083,1.21502,0.000826,0.000826,0.000826
141,68207.6,0.67268,0.29708,0.88133,0.7844,0.8211,0.79759,0.55812,1.0838,0.60847,1.21618,0.00076,0.00076,0.00076
142,68689.7,0.66317,0.29264,0.87675,0.78915,0.816,0.79734,0.55824,1.08432,0.60904,1.21747,0.000694,0.000694,0.000694
143,69172.8,0.65472,0.28908,0.86997,0.78984,0.8161,0.79729,0.5584,1.08453,0.60874,1.21867,0.000628,0.000628,0.000628
144,69653.4,0.64843,0.28526,0.8684,0.79218,0.81532,0.7965,0.5584,1.0852,0.60904,1.22044,0.000562,0.000562,0.000562
145,70133.6,0.64003,0.28033,0.86471,0.79477,0.81351,0.79669,0.55933,1.08544,0.60969,1.22159,0.000496,0.000496,0.000496
146,70615.1,0.63733,0.27923,0.86617,0.79593,0.8133,0.79652,0.5597,1.08578,0.61169,1.22347,0.00043,0.00043,0.00043
147,71094.5,0.6309,0.27768,0.86176,0.7959,0.81354,0.79675,0.55971,1.08628,0.6096,1.22535,0.000364,0.000364,0.000364
148,71577.4,0.62776,0.27566,0.86043,0.79489,0.81304,0.79647,0.55977,1.08682,0.61107,1.2273,0.000298,0.000298,0.000298
149,72059.5,0.62316,0.27192,0.85836,0.79228,0.8146,0.79615,0.55934,1.08734,0.61219,1.22912,0.000232,0.000232,0.000232
150,72540.3,0.61444,0.26859,0.8544,0.79294,0.81381,0.79557,0.55903,1.08801,0.61321,1.23123,0.000166,0.000166,0.000166
